document_count,evaluation_method,scoring_type,field_name,stats_name,tp,fp,fn,tn,accuracy,precision,recall,f1,jaccard
10,levenshtein,partial_list,table_labels,None,7,8,3,3421,0.9968013957545798,0.4666666666666667,0.7,0.56,0.3888888888888889
10,levenshtein,partial_list,table_captions,None,4,14,1,3420,0.9956382669380633,0.2222222222222222,0.8,0.3478260869565218,0.21052631578947367
10,levenshtein,partial_list,table_label_captions,None,4,15,1,3419,0.9953474847339343,0.21052631578947367,0.8,0.3333333333333333,0.2
10,levenshtein,partial_list,figure_labels,None,8,12,8,3411,0.9941843559174178,0.4,0.5,0.4444444444444445,0.2857142857142857
10,levenshtein,partial_list,figure_captions,None,7,19,8,3405,0.9921488804885141,0.2692307692307692,0.4666666666666667,0.3414634146341463,0.20588235294117646
10,levenshtein,partial_list,figure_label_captions,None,7,19,8,3405,0.9921488804885141,0.2692307692307692,0.4666666666666667,0.3414634146341463,0.20588235294117646
10,levenshtein,partial_list,back_section_paragraphs,None,7,2,7,3423,0.997382960162838,0.7777777777777778,0.5,0.6086956521739131,0.4375
10,levenshtein,partial_list,reference_text,None,122,67,4,3246,0.9793544635068334,0.6455026455026455,0.9682539682539683,0.7746031746031745,0.6321243523316062
10,levenshtein,partial_list,reference_author_surnames,None,89,90,4,3256,0.9726664728118639,0.4972067039106145,0.956989247311828,0.6544117647058824,0.48633879781420764
10,levenshtein,partial_list,reference_author_given_names,None,42,138,3,3256,0.9589997092177959,0.23333333333333334,0.9333333333333333,0.37333333333333335,0.22950819672131148
10,levenshtein,partial_list,reference_author_full_names,None,76,104,3,3256,0.9688863041581856,0.4222222222222222,0.9620253164556962,0.5868725868725868,0.41530054644808745
10,levenshtein,partial_list,reference_title,None,89,32,10,3308,0.9877871474265775,0.7355371900826446,0.898989898989899,0.8090909090909091,0.6793893129770993
10,levenshtein,partial_list,reference_year,None,97,77,9,3256,0.9749927304448968,0.5574712643678161,0.9150943396226415,0.6928571428571428,0.5300546448087432
10,levenshtein,partial_list,reference_source,None,92,84,7,3256,0.9735388194242512,0.5227272727272727,0.9292929292929293,0.6690909090909091,0.5027322404371585
10,levenshtein,partial_list,reference_publication_type,None,118,58,11,3252,0.9799360279150916,0.6704545454545454,0.9147286821705426,0.7737704918032787,0.6310160427807486
10,levenshtein,partial_list,reference_volume,None,88,75,9,3267,0.9755742948531549,0.5398773006134969,0.9072164948453608,0.676923076923077,0.5116279069767442
10,levenshtein,partial_list,reference_fpage,None,87,80,10,3262,0.9738296016283804,0.5209580838323353,0.8969072164948454,0.6590909090909091,0.4915254237288136
10,levenshtein,partial_list,reference_lpage,None,28,139,10,3262,0.956673451584763,0.16766467065868262,0.7368421052631579,0.27317073170731704,0.15819209039548024
10,levenshtein,partial_list,reference_doi,None,0,0,0,3439,1.0,0,0,0,0
10,levenshtein,partial_list,reference_pmid,None,0,0,106,3333,0.9691770863623146,0,0.0,0,0.0
10,levenshtein,partial_list,reference_pmcid,None,0,0,0,3439,1.0,0,0,0,0
10,levenshtein,partial_list,None,micro,None,None,None,None,0.983728312493942,0.48377862595419846,0.7952941176470588,0.6016018985464254,0.4302078913873568
10,levenshtein,partial_list,None,macro,None,None,None,None,0.983728312493942,0.3696408300437912,0.6421844648009419,0.4510734793794402,0.3260494045004288
10,exact,partial_set,corresp_author_surnames,None,0,3,1,3395,0.9988231832892027,0.0,0.0,0,0.0
10,exact,partial_set,author_surnames,None,31,28,0,3340,0.9917622830244189,0.5254237288135594,1.0,0.688888888888889,0.5254237288135594
10,exact,partial_set,corresp_author_given_names,None,0,3,1,3395,0.9988231832892027,0.0,0.0,0,0.0
10,exact,partial_set,author_given_names,None,34,25,1,3339,0.9923506913798176,0.576271186440678,0.9714285714285714,0.723404255319149,0.5666666666666667
10,exact,partial_set,corresp_author_full_names,None,0,3,1,3395,0.9988231832892027,0.0,0.0,0,0.0
10,exact,partial_set,author_full_names,None,31,30,0,3338,0.9911738746690203,0.5081967213114754,1.0,0.673913043478261,0.5081967213114754
10,exact,partial_set,corresp_author_emails,None,0,3,0,3396,0.999117387466902,0.0,0,0,0.0
10,exact,partial_set,author_emails,None,2,1,1,3395,0.9994115916446014,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5
